Attaching 96 probes...
Begin!
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/csidriver/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/storageclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/volumeattachment/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/apps/controllerrevision/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/admissionregistration/mutatingwebhookconfiguration/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/events/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/events/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/event/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/authentication/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/authentication/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/authorization/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/authorization/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/autoscaling/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/autoscaling/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/autoscaling/horizontalpodautoscaler/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/autoscaling/horizontalpodautoscaler/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/networking/ingress/storage.NewREST


